Iterations,Training Accuracy,Training Loss,Test Accuracy,Test Loss
126,0.959999978542,12.5098171234,0.957899987698,12.9839925766
127,0.920000016689,27.3613834381,0.962000012398,11.5416584015
128,0.97000002861,8.95671749115,0.967100024223,10.1253356934
129,0.930000007153,20.1800460815,0.970200002193,9.40876293182
130,0.990000009537,6.14245033264,0.969699978828,9.31848716736
131,0.920000016689,13.7399082184,0.966199994087,9.85377311707
132,0.889999985695,28.6544704437,0.966700017452,9.88454341888
133,0.959999978542,16.8932342529,0.969399988651,9.54926586151
134,0.949999988079,20.1346797943,0.970899999142,9.00695896149
135,0.97000002861,6.45240688324,0.971700012684,8.78143119812
136,0.930000007153,20.8182430267,0.972000002861,8.84752655029
137,0.990000009537,6.42498493195,0.971199989319,9.05928230286
138,0.97000002861,11.1924686432,0.970499992371,9.30860614777
139,0.97000002861,14.2245178223,0.96850001812,9.45455360413
140,0.980000019073,7.53980255127,0.97000002861,9.44404411316
141,0.930000007153,14.2701816559,0.970399975777,9.3553276062
142,0.990000009537,5.5492515564,0.969699978828,9.35539627075
143,1.0,2.3067176342,0.968599975109,9.42224311829
144,0.990000009537,5.41330528259,0.967299997807,9.75335884094
145,0.980000019073,6.19149923325,0.965699970722,10.1770009995
146,0.97000002861,10.4331569672,0.964600026608,10.7542915344
147,0.97000002861,10.622341156,0.965799987316,10.3959703445
148,0.980000019073,10.7599830627,0.969699978828,9.16927242279
149,0.939999997616,18.2485866547,0.972299993038,8.32654762268
150,0.990000009537,4.85041332245,0.973500013351,7.87441158295
151,0.97000002861,11.6298418045,0.974799990654,7.89304828644
152,0.97000002861,8.59644699097,0.973999977112,7.92395019531
153,0.97000002861,11.2015476227,0.973599970341,7.93973064423
154,0.990000009537,2.51837301254,0.974500000477,7.81827497482
155,0.959999978542,9.68403053284,0.975799977779,7.60536336899
156,0.980000019073,5.12220621109,0.975799977779,7.32996749878
157,0.990000009537,3.63797068596,0.975199997425,7.68697500229
158,0.97000002861,16.105588913,0.973200023174,8.51012420654
159,0.980000019073,4.16054773331,0.971800029278,8.96499633789
160,0.97000002861,9.33180427551,0.969699978828,9.33856296539
161,0.97000002861,9.11459159851,0.973299980164,8.18751430511
162,0.97000002861,6.12221956253,0.974500000477,7.63970470428
163,0.980000019073,9.19501399994,0.972500026226,8.35137081146
